timestamp	commit	metric	value	status	description
2026-05-15T21:00:00+08:00	baseline	test_pass_rate	24/24 (100%)	keep	baseline: 421 lines, 24 tests
2026-05-15T21:05:00+08:00	cycle1	test_pass_rate	28/28 (100%)	keep	Tracer: importJSON/findSpans/findSpansByOperation/getSpanById/spanCount
2026-05-15T21:10:00+08:00	cycle2	test_pass_rate	31/31 (100%)	keep	PolicyEngine: listCategories/ruleCount/exportJSON
2026-05-15T21:15:00+08:00	cycle3	test_pass_rate	34/34 (100%)	keep	Evaluator: listChecks/removeCheck/aggregateScore edge
2026-05-15T21:20:00+08:00	73fb3ab	test_pass_rate	37/37 (100%)	keep	Integration: memoryOperation/retrievalSearch/convenience methods
2026-05-16T19:00	6f402bb	test_count	48/48	keep	Tracer:getChildren+getSpanTree | PolicyEngine:disableRule/enableRule/evaluateAll | AgentObserver:reportMarkdown+spanStats. 37→48 (+11), 480→559 lines
2026-05-16T21:10	926dd49	test_pass_rate	53/53 (100%)	keep	Tracer: linkSpans + getCausalChain + getCausalLinks (+5, causal link tracking)
2026-05-16T21:15	8662f9a	test_pass_rate	56/56 (100%)	keep	Evaluator: compareTraces regression detection (+3)
2026-05-16T21:20	2915cbc	test_pass_rate	58/58 (100%)	keep	PolicyEngine: addPolicies + batchEvaluate (+2)
2026-05-16T21:25	4303cc9	test_pass_rate	60/60 (100%)	keep	AgentObserver: observeSync + getErrorSummary (+2)
2026-05-17T19:05	c62e33e	test_count	72/72	keep	Tracer:getActiveSpanCount+getSpanDepth | Evaluator:setWeight+resetChecks | PolicyEngine:getRule+hasCategory. 60→72 (+12), 3 cycles, 3 keep, 零回滚
2026-05-17T21:00\t5796f2e\ttests\t76→76\tpass\tTracer.traceFn + PolicyEngine.clearCategory + Evaluator.getCheck (+4 tests)
2026-05-17T21:05\tfbeca86\ttests\t77→77\tpass\tAgentObserver.observeWithPolicy() (+1 test)
2026-05-17T21:10\t1409d7a\ttests\t78→78\tpass\tTracer.exportOTLP() — OTLP JSON export (+1 test)
2026-05-17T21:15\tb1c1e03\ttests\t79→79\tpass\tEvaluator.evaluate(dimensions?) filtering (+1 test)
2026-05-17T15:03	c4178df	tests	79→81	pass	Tracer.getSlowSpans + getErrorSpans (+2 tests)
2026-05-18T19:10	d556e3a	tests	81→85	keep	Tracer.filter+groupByOperation, PolicyEngine.importRules, AgentObserver.getErrorRate (+4)
2026-05-18T19:15	5023827	tests	85→88	keep	Tracer.spanCountByStatus, Evaluator.topFailures, AgentObserver.observeAsync (+3)
2026-05-18T19:20	46fa728	tests	88→91	keep	Tracer.clear, PolicyEngine.ruleNames, Evaluator.dimensionNames (+3)
