timestamp	commit	metric	value	status	description
2026-04-14T23:00	03b8745	test_pass_rate	15/15	keep	mcp-server: replace mock read/write/exec with real filesystem ops + sandboxing
2026-04-14T19:19	-	test_pass_rate	30/30	improve	mcp-server: add schema-validation.test.js (15 new tests for JSON Schema validation of tool inputs)
2026-04-15T11:25	2289498+b0c8812	test_count	79/79	keep	agent-memory-service: batchAdd/batchDelete/searchAndLink/timeline — 13 new tests (66→79)
date	project	baseline_tests	baseline_pass	baseline_fail	after_tests	after_pass	after_fail	change	notes
2026-04-16	better-ralph-core	25	22	3	25	25	0	+3 pass	Fixed IterationContext missing notes field, added to_dict(), fixed get_memory_summary missing iterations_summary
2026-04-16	catalyst-agent-mesh	68	68	0	83	83	0	+15 tests	Added test_pipeline_executor.py covering PipelineStage, CRUD, statistics, execution
2026-04-17	github-creative-project	0	0	0	36	36	0	+36 tests (from 0 to all passing)	Fixed TS compilation bugs: abstract async modifiers, missing think/act implementations, untracked intervals, capabilities type mismatch, Record type for merged object
2026-04-18	catalyst-agent-mesh	83	83	0	98	98	0	+15 tests	Added test_mesh_config.py: MeshConfig defaults/env, mesh status, workflow CRUD, agent registration lifecycle, connection management
2026-04-18T14:06	e3e5646	test_pass_rate	40/40	keep	ctxpack: 37 unit/integration tests + --stats feature (generate_stats)
2026-04-19	catalyst-agent-mesh	98	98	0	118	118	0	+20 tests	Added test_mesh_workflows.py: pre-built workflow constants, content creation/research pipelines, add_task_to_pipeline_stage, connection broadcast edge cases, task execution error handling
2026-04-19	catalyst-agent-mesh	118	118	0	148	148	0	+30 tests	Added TaskScheduler: priority queue, retry, deadline tracking, batch dispatch
2026-04-19	catalyst-agent-mesh	148	148	0	171	171	0	+23 tests	Added HealthMonitor: health scores, auto-disable on consecutive failures, auto-recovery, checker registry
2026-04-19	agent-task-cli	247	247	0	259	259	0	+12 tests	Added orchestrator task timeout (F11) + PriorityQueue util with peek/clear/toArray (F12)
2026-04-20	better-ralph-core	25	25	0	44	44	0	+19 tests, fixed Set import bug	Added test_orchestrator.py (11 tests) + test_utils.py (8 tests). Fixed NameError: 'Set' not defined in prd_manager.py.
2026-04-21	ai-iot-orchestrator	66	66	0	115	115	0	+49 tests, fixed 2 bugs in think()	Added test_environment_agent.py: env state, time mode, analysis, device control, pattern learning, message handlers. Fixed NameError (_process_user_request undefined) and missing self. on _monitor_and_adjust.
2026-04-22T13:32	catalyst-agent-mesh	171->182	+11 tests (7 health_monitor edge cases, 5 pipeline_executor)	all pass	autoresearch cron
2026-04-23T03:21	better-ralph-core	44->58	+14 tests (7 Config, 7 PerformanceMonitor)	all pass	autoresearch cron
2026-04-23T22:00	agent-task-cli	271	271	0	282	282	0	+11 tests	F15: Cache.touch() (5 tests) + F16: EventBus.emitBatch() (6 tests)
2026-04-24T03:04	edge-agent-dashboard	5 pass + 5 errors	38	38	0	+33 unit tests (23 manager + 15 monitor), fixed fixture bug	renamed integration test script, created proper unit tests
2026-04-24	agent-task-cli	282	282	0	295	295	0	+13 tests	F17: EventBus.once (4), F18: Cache.getOrSet (5), F19: RetryHandler.executeUntil (4)
2026-04-25T03:00	catalyst-agent-mesh	182	207	+25	TaskScheduler reschedule/fail/overdue/stats/clear/next_batch edge cases, select_agents_for_task, ScheduledTask comparison, DesignAgent process	all pass	autoresearch cron
2026-04-26T03:00	ai-dev-tools	22 pass + 2 broken	44/44 pass	fixed ESM mock (jest.unstable_mockModule + Proxy chalk), fixed async dir creation race condition	autoresearch cron
2026-04-27T03:01:28+08:00	-	test_pass_rate	65/65 (was 58/58)	improve	better-ralph-core: added 7 tests for MemoryManager (to_dict, save_session_summary, persistence roundtrip, edge cases)
2026-04-28T03:00	better-ralph-core	65	65	0	91	91	0	+26 tests	Added test_prd_manager_extended.py: add_story, remove_story, update_story, mark_story_incomplete, _check_dependencies_met, dependency chain, save_prd edge cases. Found bug: save_prd doesn't set file_path.
2026-05-02T03:00\tagent-task-cli\t392\t392\t0\t408\t408\t0\t+16 tests (performance-monitor.test.js: task lifecycle, agent tracking, events, pattern aggregation, clear)\tcatalyst-agent-mesh\t207\t207\t0\t207\t207\t0\tbaseline confirmed\tbetter-ralph-core\t103\t103\t0\t103\t103\t0\tbaseline confirmed
date	project	tests_before	tests_after	delta	status
2026-05-03	ai-iot-orchestrator	115	135	+20	✅ all pass
2026-05-03	catalyst-agent-mesh	207	207	0	✅ all pass (baseline)
2026-05-03	better-ralph-core	117	117	0	✅ all pass (baseline)
2026-05-04	agent-memory-service	312	312	0	312	312	0	+4 tests: unified autoMaintain with BM25+embed cache diagnostics, healthScore 6 dimensions	all pass
2026-05-04	better-ralph-core	117	121	+4	121	121	0	PRD lifecycle integration tests (split→adjust→progress→deps)	all pass
2026-05-04	catalyst-agent-mesh	207	207	0	✅ all pass (baseline verified)
2026-05-04	better-ralph-core	121	125	+4	✅ all pass (+test_monitor.py: PerformanceMonitor start/end/get_metrics edge cases)
2026-05-05	mcp-server	114	127	+13	127	127	0	+read.test.js (7 tests) +write.test.js (6 tests)	all pass
2026-05-06	agent-trust-web	0	22	+22	22	22	0	+trustNetwork.test.ts: initialization, add/remove, trust relations, trust scores, simulation, metrics, export/import, reset (vitest)	all pass
2026-05-08	agent-memory-service	312	315	+3	315	315	0	+autoTag.test.js: tags untagged memories, dryRun respect, skip tagged	all pass
2026-05-09	agent-context-analyzer	17	27	+10	27	27	0	+tokenizer.test.ts: count (4 tests), countMany (3 tests), getModelLimit (2 tests), dispose (1 test)	all pass
2026-05-09	skill-doctor	0	0	0	19	19	0	+19 tests (from 0), added --json flag + diagnoseJSON export + module.exports for testability	all pass
2026-05-10	catalyst-agent-mesh	207	224	+17	224	224	0	+test_mesh_selection.py: select_agents_for_task (7 tests), get_available_agents (3), execute_task edge cases (3), find_agents (4)	all pass
2026-05-11	ai-dev-tools	fix-jest-esm	3 suites 48 tests all pass (was 3 failed due to ESM config)			healed
2026-05-12T03:00	-	test_pass_rate	147/147	improve	ai-iot-orchestrator: +12 tests (DeviceType/State enum completeness, to_dict capability details, async callback notification, callback error resilience, custom _learn override, send_message routing)
2026-05-13T03:00	code-quality-checker	0	14	+14	✅ all pass	Fixed 3 bugs: (1) runComplexityCheck used undefined vars score/issues instead of destructuring, (2) regex patterns double-escaped (\\s→s literal), (3) split('\\n' literal instead of newline). Added test suite with 14 tests: analyzeComplexity (4), analyzeSecurity (4), calculateHealthScore (6).
2026-05-14T03:00	catalyst-agent-mesh	224	248	+24	248/248	all pass	+test_coverage_boost2.py: create_provider errors (2), MeshConfig.from_env (2), agent get_stats/to_dict/set_llm (3), get_mesh_status empty/with_agents/busy (3), connection add/remove (2), execute_workflow failure paths (2), pipeline list/stats/cancel (6), unregister_agent (2), find_by_capability (2)
