timestamp	commit	metric	value	status	description
2026-04-15T23:10	5957283	tests	38	pass	add edit tool: replace text in files (all occurrences)
2026-04-20T19:10	cf02057	tests	45	pass	add Streamable HTTP transport + refactor (parseArgs, createServerInstance)
2026-04-20T19:30	f84a0a9	tests	50	pass	add system_status tool (platform, version, memory, workspace)
2026-04-20T19:55	42c4e0c	tests	60	pass	add exec command validation (security: block dangerous patterns)
2026-04-21T19:10	c9d4931	tests	67	keep	add search_files tool (grep-like regex search, 7 new tests)
2026-04-21T19:25	b9202a7	tests	73	keep	add append tool (file append with newline handling, 6 new tests)
2026-04-21T23:10	40a2953	tests	78	keep	add delete tool (file/empty-dir deletion with safety checks, 5 new tests)
2026-04-23T23:08:44+08:00	652f7b7	tests	85	keep	add move tool (rename/move with path safety, 7 new tests)
2026-04-24T23:00:00+08:00	08eed0b	tests	92	keep	add copy tool (file/directory recursive copy, 7 new tests)
2026-04-25T23:10:00+08:00	0b2cb75	tests	97	keep	add create_directory tool (mkdir recursive + conflict detection, 5 new tests)
2026-04-26T23:02:53+08:00	6cf9967	tests	102	keep	add file_info tool — detailed metadata (size, timestamps, permissions) for files/dirs (5 new tests)
2026-04-27T23:02:59+08:00	bc11771	tests	102	keep	upgrade @modelcontextprotocol/sdk 1.0.4 → 1.29.0 (all pass, no breaking changes)
2026-04-28T23:15:57+08:00	2836fc9	test_pass_rate	100%	keep	fix list_files test assertions (maxDepth depth semantics + subdirectory count)
