timestamp	commit	metric	value	status	description
2026-06-17T22:10+08:00	local	test_pass_rate	36/38 (94.7%)	keep	F8: .gitignore parsing + isIgnored() with negation/wildcard support. 13 new tests. Integration with scanLanguages + getDirStructure. Negation patterns fixed.
2026-06-17T22:25+08:00	local	test_pass_rate	43/46 (93.5%)	keep	F2: Import statement extraction from JS/TS/Python files. 8 new tests. Extracts ES6 imports, CommonJS require, TypeScript import type, Python imports. Supports relative imports filtering and .gitignore integration.2026-06-18T22:10+08:00	f978971	test_pass_rate	49/52 (94.2%) - was 43/46	keep	F3: API surface extraction (9 tests) + F4: Configuration file parser (9 tests). 18 new tests total. Pre-existing 3 failures unchanged.
2026-06-19T22:10+08:00	7f5bac2	test_pass_rate	50→70 (67/70)	keep	F9: File size limits — skip large files in scanLanguages/extractImports/extractApiSurface. 6 new tests. 3 pre-existing failures unchanged.
2026-06-19T22:25+08:00	8142127	test_pass_rate	70→78 (75/78)	keep	F5: Mermaid.js directory diagram — graph TD with nodes/edges/depth/gitignore support. 8 new tests. Fixed depth recursion bug. 3 pre-existing failures unchanged.
2026-06-19T22:40+08:00	1c2059e	test_pass_rate	78→84 (81/84)	keep	F10: Validation mode — check generated files for stale scripts/entry points/mismatched markers. 6 new tests. 3 pre-existing failures unchanged.
2026-06-19T22:40+08:00	1c2059e	test_pass_rate	78→84 (81/84)	keep	F10: Validation mode — check generated files for stale scripts/entry points/mismatched markers. 6 new tests. 3 pre-existing failures unchanged.
2026-06-21T19:10+08:00	55ab316	test_count	109→123 (123/123)	keep	F6: Markdown tables — formatScriptsTable (Script|Command columns, max limit, overflow indicator) + formatDepsTable (Package|Version columns, scoped pkg support). Replaced bullet lists in generateAgentsMd/generateCursorRules/generateClaudeMd. 14 new tests. Split F6 tests into separate file. Zero regressions.
2026-06-21T19:30+08:00	3385e49	test_count	123→131 (131/131)	keep	F14: Analysis cache — loadCache/saveCache/invalidateCache with root mtime validation. 2-second tolerance for FS granularity. Corrupted cache handled gracefully. 8 new tests. Zero regressions.
2026-06-21T22:14:20+08:00	43a61f0	test_count	131→183 (183/183)	keep	F7: TOML/YAML structured export. exportTOML (table headers, array-of-tables, escaping) + exportYAML (indentation, quoting, nested objects) + buildExportData aggregator. --format=toml|yaml CLI option. 28 new tests. Fixed YAML empty-array-before-object check. Zero regressions. Previous infra failure resolved.
2026-06-21T22:18:44+08:00	6235931	test_count	183→222 (222/222)	keep	F13: Template registry system. registerTemplate/getTemplate/listTemplates/removeTemplate/clearTemplates. 3 built-in templates (brief, json-compact, dockerfile-hint). generateFromTemplate resolves named or inline templates. 39 new tests. Zero regressions.
2026-06-21T22:26:17+08:00	909250a	test_count	222→235 (235/235)	keep	F16: Integration tests — self-analysis (8 tests), temp project lifecycle (3 tests), export format cross-validation (2 tests). buildExportData enhanced with info.pkg fallback chain. 13 new tests. Zero regressions.
2026-06-22T19:15+08:00	995f108	test_count	235→248 (248/248)	keep	F17: analyzeComplexity (totalFiles/deps/scripts/imports/APIs/configs + Shannon diversity + dominant share + 0-100 complexity score + category) + summarizeAnalysis (markdown report with metrics table + language breakdown). 13 new tests. Zero regressions.
2026-06-22T19:30+08:00	d088e0b	test_count	248→263 (263/263)	keep	F18: compareProjects (languages/deps/scripts/entryPoints/complexity diff + trend detection) + formatComparison (markdown report with added/removed/changed sections). 15 new tests. Zero regressions.
2026-06-22T19:45+08:00	7d0927d	test_count	263→277 (277/277)	keep	F19: detectStaleFiles (regex file path extraction from generated files + dedup + entry point validation) + computeHealthScore (8-check health assessment: entryPoints/scripts/deps/errors/warnings/langs/configs/apiSurface, 0-100 score + A-F grade). 14 new tests. Zero regressions.
2026-06-22T21:15+08:00	ca0c09c	test_count	277→307	keep	F20: buildDependencyGraph (adjacency/reverse/packageUsage) + findCircularDependencies + formatDependencyGraph. F21: inferTechStack (35+ signatures Frontend/Backend/Build/Testing/DB/Styling/Mobile/DevOps with confidence scoring) + formatTechStack. F22: findDuplicateImports (shared ranking + identical signature groups) + formatDuplicateReport. 30 new tests. Zero regressions.
2026-06-22T21:30+08:00	2c29d6a	test_count	307→327	keep	F23: computeProjectStats (file/deps/maturity A-F scoring, configCoverage, testToCodeRatio, topLanguages) + formatProjectStats. F24: analyzeEntryPoints (type classification cli/server/library/test, importedBy tracking, export detection, orphan flagging) + formatEntryPointAnalysis. 20 new tests. Zero regressions.
2026-06-22T21:45+08:00	37fff49	test_count	327→349	keep	F25: auditDependencies (version pinning analysis, abandoned package detection, git URL flagging, latest tag warnings, duplicate deps, risk score A-F) + formatRiskAudit. F26: detectQualitySignals (6 dimensions: typesafety/testing/linting/formatting/CI/documentation, progress bars, overall grade) + formatQualitySignals. 22 new tests. Zero regressions.
